file name,line count, actual content line count,number of revisions,lines per revision
git/github/silvacom/colresize.yaml,9,3,1,3
git/github/simplesamlphp/simplesamlphp.yaml,94,88,2,44
git/github/spring-projects/spring-ldap.yaml,14,8,1,8
git/github/stevesanderson/knockout.mapping.yaml,18,12,2,6
git/github/stevesanderson/knockout-projections.yaml,9,3,1,3
git/github/stretchr/testify.yaml,9,3,1,3
git/github/stuk/jszip.yaml,44,39,1,39
git/github/suitcss/components-test.yaml,9,3,1,3
git/github/syntaxhighlighter/syntaxhighlighter.yaml,9,3,1,3
git/github/tencent/rapidjson.yaml,9,3,1,3
git/github/ternjs/acorn.yaml,9,3,1,3
git/github/test-unit/test-unit.yaml,19,13,1,13
git/github/thlorenz/deep-is.yaml,9,3,1,3
git/github/tidyverse/blob.yaml,9,3,1,3
git/github/tommyjones/textminer.yaml,12,6,2,3
git/github/tonytomov/jqgrid.yaml,20,14,1,14
git/github/topojson/topojson.yaml,14,8,1,8
git/github/torvalds/linux.yaml,9,3,1,3
git/github/ulfjack/ryu.yaml,108,102,1,102
git/github/v8/v8.yaml,60,54,1,54
git/github/whitequark/parser.yaml,9,3,1,3
git/github/wjakob/clang-cindex-python3.yaml,9,3,1,3
git/github/xeipuuv/gojsonpointer.yaml,9,3,1,3
git/github/xeipuuv/gojsonreference.yaml,9,3,1,3
git/github/xeipuuv/gojsonschema.yaml,9,3,1,3
git/github/yihui/tinytex.yaml,9,3,1,3
git/github/ymnk/jzlib.yaml,9,3,1,3
git/github/yoshuawuyts/github_auth.yaml,9,3,1,3
git/github/ytti/oxidized-web.yaml,9,3,1,3
git/github/zaphoyd/websocketpp.yaml,12,6,2,3
git/github/zetbaitsu/compressor.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-base.yaml,12,6,2,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v21.yaml,9,3,1,3
maven/mavencentral/ca.uhn.hapi/hapi-structures-v22.yaml,9,3,1,3
