file name,length of longest curation,full length of curations,number of lines,revision,number of revisions
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.7",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.6",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.5",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.4",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.3",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.2",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.1",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.14",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.13",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.12",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.11",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.10",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.8.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.7.4",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.7.3",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.7.2",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.7.1",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.7.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.8",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.6",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.5",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.4",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.3",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.2",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.17",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.16",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.15",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.13",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.11",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.10",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.6.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.5.5",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.5.4",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.5.1",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.5.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.4.9",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.4.9.5",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.4.9.4",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.4.6",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.7",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.3",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.26",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.2",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.24",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.23",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.22",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.21",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.18",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.17",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.16",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.1",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.12",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.11.0",59
nuget/nuget/-/HtmlAgilityPack.yaml,2,177,182,"1.10.2",59
